"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2023","115,900","115,900","115,900","115,900","0.12K","-5.00%"
"06/07/2023","122,000","122,000","122,000","122,000","0.10K","1.75%"
"06/06/2023","119,900","119,900","119,900","119,900","1.30K","3.81%"
"06/05/2023","115,500","111,000","121,900","111,000","1.51K","-5.33%"
"06/02/2023","122,000","125,400","125,400","122,000","1.21K","7.02%"
"06/01/2023","114,000","109,000","114,500","108,800","2.50K","9.51%"
"05/31/2023","104,100","103,000","105,500","103,000","0.70K","4.10%"
"05/30/2023","100,000","100,000","100,000","100,000","0.20K","0.00%"
"05/29/2023","100,000","100,000","100,000","100,000","0.11K","3.84%"
"05/22/2023","96,300","86,700","86,700","86,700","","0.00%"
"05/19/2023","96,300","96,500","96,500","96,300","0.20K","-2.73%"
"05/16/2023","99,000","98,500","99,000","98,500","0.20K","-5.71%"
"05/15/2023","105,000","105,000","105,000","105,000","0.10K","7.03%"
"05/12/2023","98,100","98,100","98,100","98,100","0.10K","-9.33%"
"05/11/2023","108,200","102,000","108,800","102,000","3.22K","7.55%"
"05/10/2023","100,600","100,600","100,600","100,600","0.11K","-0.10%"
"05/09/2023","100,700","100,800","100,800","100,700","0.33K","-0.10%"
"05/08/2023","100,800","100,500","100,800","100,500","1.12K","0.80%"
"05/05/2023","100,000","100,000","100,000","100,000","0.41K","0.00%"
"04/28/2023","100,000","100,000","100,000","100,000","0.40K","0.00%"
"04/25/2023","100,000","100,000","100,000","100,000","0.50K","0.00%"
"04/24/2023","100,000","100,000","100,000","100,000","2.30K","0.00%"
"04/21/2023","100,000","100,000","100,000","100,000","2.70K","0.00%"
"04/18/2023","100,000","100,000","100,000","100,000","0.20K","0.00%"
"04/17/2023","100,000","100,000","100,000","100,000","1.22K","0.70%"
"04/14/2023","99,300","99,200","99,300","99,200","0.60K","-0.10%"
"04/13/2023","99,400","99,800","100,000","99,400","0.71K","3.65%"
"04/12/2023","95,900","93,600","95,900","93,600","0.21K","-3.91%"
"04/11/2023","99,800","100,000","100,000","99,800","0.20K","4.94%"
"04/10/2023","95,100","95,100","95,100","95,000","1.00K","-5.00%"
"04/06/2023","100,100","100,000","100,100","100,000","0.70K","0.10%"
"04/05/2023","100,000","100,000","100,000","99,800","1.70K","0.50%"
"04/04/2023","99,500","99,500","99,500","99,500","2.84K","4.74%"
"04/03/2023","95,000","94,500","95,000","94,500","2.50K","0.00%"
"03/31/2023","95,000","95,000","95,000","95,000","0.10K","-4.52%"
"03/30/2023","99,500","93,600","99,500","93,600","0.20K","4.52%"
"03/29/2023","95,200","95,200","95,200","95,200","0.40K","0.00%"
"03/27/2023","95,200","95,100","95,200","95,100","0.50K","-6.21%"
"03/23/2023","101,500","100,000","101,500","100,000","0.20K","-1.46%"
"03/22/2023","103,000","105,600","105,600","101,000","2.60K","3.00%"
"03/21/2023","100,000","103,000","103,000","100,000","3.11K","-3.29%"
"03/20/2023","103,400","103,000","112,000","102,900","6.00K","0.39%"
"03/16/2023","103,000","102,000","103,000","102,000","0.22K","0.00%"
"03/13/2023","103,000","103,000","103,000","103,000","1.20K","3.00%"
"03/10/2023","100,000","100,000","100,000","100,000","1.62K","1.01%"
"03/09/2023","99,000","99,000","99,000","99,000","0.60K","2.59%"
"03/07/2023","96,500","96,500","96,500","96,500","0.52K","-3.60%"
"03/06/2023","100,100","100,000","100,500","100,000","3.00K","-9.90%"
"03/03/2023","111,100","111,100","118,000","111,000","1.43K","0.00%"
"03/02/2023","111,100","95,000","111,100","95,000","3.00K","10.00%"
"02/28/2023","101,000","101,600","101,600","100,800","1.90K","-9.82%"
"02/24/2023","112,000","103,000","112,000","103,000","3.20K","9.80%"
"02/23/2023","102,000","100,000","102,000","100,000","1.93K","2.10%"
"02/22/2023","99,900","99,900","99,900","99,900","0.30K","0.91%"
"02/21/2023","99,000","98,000","99,000","98,000","0.50K","1.02%"
"02/20/2023","98,000","98,000","98,000","98,000","0.43K","2.08%"
"02/17/2023","96,000","98,000","98,500","96,000","0.30K","1.05%"
"02/16/2023","95,000","95,000","95,000","95,000","1.73K","0.96%"
"02/15/2023","94,100","93,500","94,100","93,500","0.33K","-1.98%"
"02/13/2023","96,000","95,600","96,000","95,500","0.60K","0.52%"
"02/10/2023","95,500","95,500","95,500","95,500","1.10K","2.58%"
"02/09/2023","93,100","93,200","93,200","93,100","0.20K","0.11%"
"02/08/2023","93,000","93,000","93,000","93,000","0.10K","-9.71%"
"02/07/2023","103,000","90,000","103,000","90,000","0.41K","5.64%"
"02/03/2023","97,500","90,000","97,500","90,000","0.20K","0.00%"
"02/02/2023","97,500","97,000","97,500","97,000","3.51K","0.52%"
"02/01/2023","97,000","97,000","97,000","97,000","0.10K","0.00%"
"01/31/2023","97,000","100,000","100,000","96,000","0.70K","1.25%"
"01/30/2023","95,800","95,800","95,800","95,800","0.32K","0.84%"
"01/27/2023","95,000","95,000","95,000","95,000","1.10K","0.53%"
"01/19/2023","94,500","95,000","95,000","94,500","0.20K","3.85%"
"01/16/2023","91,000","91,000","91,000","91,000","0.13K","-2.15%"
"01/06/2023","93,000","93,000","93,000","93,000","0.20K","-1.06%"
"12/30/2022","94,000","94,000","94,000","94,000","0.20K","1.08%"
"12/28/2022","93,000","93,000","93,000","93,000","0.42K","0.00%"
"12/19/2022","93,000","93,000","93,000","93,000","0.10K","-5.97%"
"12/16/2022","98,900","92,000","98,900","92,000","0.50K","5.21%"
"12/15/2022","94,000","94,000","94,000","94,000","0.58K","5.50%"
"12/14/2022","89,100","90,500","90,500","89,100","0.70K","0.11%"
"12/13/2022","89,000","89,000","89,000","89,000","0.20K","-1.11%"
"12/09/2022","90,000","90,000","90,000","90,000","0.10K","0.00%"
"12/07/2022","90,000","90,000","90,000","90,000","0.20K","0.56%"
"12/06/2022","89,500","90,000","90,000","89,500","0.20K","-0.56%"
"12/01/2022","90,000","90,000","91,000","90,000","0.60K","-0.55%"
"11/30/2022","90,500","90,500","90,500","90,500","0.29K","0.44%"
"11/29/2022","90,100","90,100","90,100","90,100","0.10K","0.11%"
"11/25/2022","90,000","89,100","90,000","89,000","4.10K","-0.11%"
"11/23/2022","90,100","90,100","90,100","90,100","2.75K","-2.07%"
"11/18/2022","92,000","91,000","92,000","91,000","1.00K","2.79%"
"11/17/2022","89,500","89,500","89,500","89,500","0.10K","0.56%"
"11/16/2022","89,000","89,000","89,000","89,000","0.30K","-2.20%"
"11/15/2022","91,000","89,500","91,000","89,000","2.90K","2.25%"
"11/14/2022","89,000","89,100","90,000","89,000","10.90K","-1.11%"
"11/10/2022","90,000","89,500","90,000","89,500","0.80K","-1.10%"
"11/09/2022","91,000","90,000","91,000","90,000","1.70K","1.11%"
"11/08/2022","90,000","90,000","90,000","90,000","0.10K","0.90%"
"11/07/2022","89,200","89,000","89,200","89,000","3.10K","0.11%"
"11/04/2022","89,100","89,100","89,100","89,100","0.40K","0.00%"
"11/03/2022","89,100","89,100","89,100","89,100","0.10K","0.11%"
"11/02/2022","89,000","89,100","89,100","89,000","0.40K","0.00%"
"11/01/2022","89,000","89,100","89,100","89,000","1.60K","-0.11%"
"10/31/2022","89,100","89,100","89,100","89,100","0.10K","0.68%"
"10/28/2022","88,500","88,600","88,600","88,500","1.22K","0.00%"
"10/27/2022","88,500","88,500","88,500","88,500","0.10K","-1.12%"
"10/24/2022","89,500","89,700","89,700","89,500","4.90K","-0.56%"
"10/21/2022","90,000","90,000","90,000","90,000","2.00K","0.00%"
"10/20/2022","90,000","90,000","90,000","90,000","2.60K","-0.11%"
"10/17/2022","90,100","90,000","90,100","90,000","1.11K","0.11%"
"10/14/2022","90,000","90,000","90,000","90,000","1.00K","1.12%"
"10/10/2022","89,000","89,100","90,000","89,000","2.90K","-1.11%"
"10/07/2022","90,000","90,200","90,200","90,000","3.10K","-0.22%"
"10/06/2022","90,200","90,200","90,200","90,200","0.20K","-0.66%"
"10/05/2022","90,800","90,800","90,800","90,800","0.10K","0.22%"
"10/04/2022","90,600","90,000","90,600","90,000","4.40K","0.00%"
"10/03/2022","90,600","90,600","90,600","90,600","1.00K","0.67%"
"09/30/2022","90,000","90,000","90,000","90,000","1.01K","-0.22%"
"09/29/2022","90,200","90,000","90,200","90,000","0.60K","0.11%"
"09/28/2022","90,100","89,000","90,100","89,000","0.40K","1.24%"
"09/26/2022","89,000","90,600","90,600","89,000","1.80K","-1.77%"
"09/22/2022","90,600","90,200","90,600","90,200","0.33K","-0.98%"
"09/21/2022","91,500","91,500","91,500","91,500","0.40K","0.55%"
"09/20/2022","91,000","90,200","91,000","90,200","0.30K","0.89%"
"09/19/2022","90,200","90,500","91,000","90,200","0.80K","0.11%"
"09/14/2022","90,100","90,100","90,200","90,100","0.50K","-0.11%"
"09/13/2022","90,200","90,200","90,200","90,200","0.10K","-0.33%"
"09/12/2022","90,500","90,100","90,500","90,100","0.64K","0.44%"
"09/09/2022","90,100","90,100","90,100","90,100","0.10K","-0.99%"
"09/07/2022","91,000","91,000","91,000","91,000","0.20K","1.11%"
"09/06/2022","90,000","90,000","90,000","90,000","0.70K","-0.22%"
"09/05/2022","90,200","90,200","90,200","90,200","1.00K","0.11%"
"08/31/2022","90,100","90,100","90,100","90,100","1.90K","0.00%"
"08/30/2022","90,100","90,100","90,100","90,100","1.00K","0.11%"
"08/29/2022","90,000","90,000","90,000","90,000","0.50K","-0.11%"
"08/26/2022","90,100","90,500","90,500","90,100","3.30K","0.00%"
"08/25/2022","90,100","90,100","90,100","90,100","0.70K","-0.11%"
"08/24/2022","90,200","90,200","90,200","90,200","0.40K","0.00%"
"08/23/2022","90,200","90,000","90,200","90,000","3.70K","0.22%"
"08/22/2022","90,000","90,000","90,100","90,000","14.10K","-1.10%"
"08/18/2022","91,000","91,000","91,000","90,000","1.52K","0.55%"
"08/17/2022","90,500","90,100","90,500","90,100","3.00K","0.33%"
"08/16/2022","90,200","91,900","91,900","90,000","6.10K","-0.33%"
"08/15/2022","90,500","90,500","90,500","90,100","4.10K","0.56%"
"08/12/2022","90,000","90,000","90,000","90,000","25.00K","0.00%"
"08/11/2022","90,000","91,000","93,500","90,000","4.00K","0.00%"
"08/10/2022","90,000","90,000","90,100","90,000","4.40K","0.00%"
"08/09/2022","90,000","90,000","90,000","90,000","17.70K","0.00%"
"08/08/2022","90,000","90,000","90,000","90,000","8.50K","0.33%"
"08/05/2022","89,700","90,000","90,000","87,000","10.71K","-0.33%"
"08/04/2022","90,000","90,100","90,100","90,000","5.60K","0.00%"
"08/02/2022","90,000","90,100","90,100","90,000","0.90K","-0.55%"
"08/01/2022","90,500","90,100","90,500","90,000","4.60K","0.56%"
"07/29/2022","90,000","90,500","90,500","90,000","0.50K","-0.55%"
"07/28/2022","90,500","90,500","90,500","90,100","4.10K","0.56%"
"07/27/2022","90,000","90,000","90,000","90,000","2.40K","0.00%"
"07/26/2022","90,000","90,500","90,500","90,000","5.00K","-0.55%"
"07/25/2022","90,500","91,000","92,100","90,500","2.80K","-7.65%"
"07/22/2022","98,000","98,000","98,000","98,000","0.10K","6.52%"
"07/20/2022","92,000","98,000","98,000","90,000","19.30K","0.00%"
"07/19/2022","92,000","98,000","98,000","92,000","0.20K","-6.12%"
"07/15/2022","98,000","98,000","98,000","98,000","0.23K","6.41%"
"07/14/2022","92,100","92,100","92,100","92,100","0.10K","0.11%"
"07/13/2022","92,000","92,000","92,000","92,000","0.71K","-1.08%"
"07/12/2022","93,000","92,000","93,500","92,000","28.60K","1.09%"
"07/11/2022","92,000","91,000","92,000","91,000","1.50K","0.00%"
"07/08/2022","92,000","92,000","92,500","91,500","7.80K","1.10%"
"07/07/2022","91,000","91,000","92,000","91,000","2.30K","-1.09%"
"07/06/2022","92,000","92,000","92,000","92,000","2.00K","0.00%"
"07/05/2022","92,000","93,000","93,000","90,000","0.80K","-1.08%"
"07/04/2022","93,000","93,500","93,500","93,000","0.20K","3.33%"
"06/28/2022","90,000","90,000","90,000","90,000","0.10K","0.00%"
"06/27/2022","90,000","90,000","90,000","90,000","1.00K","-3.74%"
"06/24/2022","93,500","93,500","93,500","93,500","0.10K","2.75%"
"06/22/2022","91,000","90,000","91,000","90,000","0.40K","0.55%"
"06/21/2022","90,500","90,500","90,500","90,500","1.00K","0.00%"
"06/17/2022","90,500","90,500","90,500","90,500","0.30K","-1.09%"
"06/16/2022","91,500","90,500","91,700","90,500","3.50K","-2.14%"
"06/15/2022","93,500","93,500","93,500","93,500","0.40K","0.65%"
"06/14/2022","92,900","92,900","92,900","92,900","0.10K","3.22%"
"06/13/2022","90,000","91,000","91,000","90,000","12.10K","-5.36%"
"06/09/2022","95,100","94,000","96,100","94,000","1.29K","-8.03%"
"06/07/2022","103,400","103,400","103,400","103,400","0.10K","10.00%"
"06/03/2022","94,000","94,000","94,000","94,000","14.80K","0.00%"
"06/02/2022","94,000","92,600","94,000","92,600","7.20K","0.00%"
"06/01/2022","94,000","93,900","94,000","93,900","4.00K","0.00%"
"05/30/2022","94,000","94,000","94,000","94,000","0.10K","-2.59%"
"05/26/2022","96,500","91,000","96,500","91,000","0.20K","-0.52%"
"05/25/2022","97,000","97,000","97,000","97,000","2.80K","1.04%"
"05/24/2022","96,000","96,000","96,000","96,000","0.20K","5.96%"
"05/23/2022","90,600","90,700","90,700","90,600","1.80K","-5.63%"
"05/20/2022","96,000","96,400","96,400","92,900","19.90K","3.78%"
"05/18/2022","92,500","90,000","92,500","90,000","8.10K","-4.54%"
"05/17/2022","96,900","97,000","97,000","96,900","0.20K","7.67%"
"05/16/2022","90,000","91,000","91,000","90,000","0.60K","-1.10%"
"05/13/2022","91,000","93,100","93,200","90,000","19.40K","-2.36%"
"05/12/2022","93,200","93,100","93,300","93,100","2.90K","0.11%"
"05/11/2022","93,100","93,100","93,100","93,100","0.40K","0.00%"
"05/10/2022","93,100","90,000","93,100","90,000","0.20K","3.44%"
"05/09/2022","90,000","109,700","109,700","90,000","2.50K","-9.82%"
"05/05/2022","99,800","95,000","99,800","93,500","0.50K","3.74%"
"05/04/2022","96,200","100,000","100,000","96,200","1.60K","-3.80%"
"04/29/2022","100,000","100,000","100,000","100,000","0.30K","0.00%"
"04/27/2022","100,000","98,700","100,000","98,500","1.50K","1.42%"
"04/26/2022","98,600","90,000","98,600","90,000","1.20K","2.71%"
"04/25/2022","96,000","100,000","100,000","96,000","1.50K","-8.48%"
"04/22/2022","104,900","101,000","104,900","98,500","1.21K","1.55%"
"04/21/2022","103,300","102,000","103,300","102,000","1.00K","-0.10%"
"04/20/2022","103,400","96,000","105,000","96,000","0.80K","0.29%"
"04/19/2022","103,100","102,100","103,100","102,000","2.40K","-1.81%"
"04/18/2022","105,000","105,000","105,000","101,200","1.30K","-1.87%"
"04/15/2022","107,000","105,000","107,000","104,500","4.70K","-0.83%"
"04/14/2022","107,900","108,000","108,000","104,000","2.80K","-0.09%"
"04/13/2022","108,000","108,000","108,000","108,000","0.11K","0.09%"
"04/12/2022","107,900","105,000","107,900","105,000","1.10K","-0.09%"
"04/08/2022","108,000","108,000","108,000","107,000","10.20K","0.00%"
"04/07/2022","108,000","108,000","108,000","107,900","2.00K","0.00%"
"04/06/2022","108,000","108,000","108,000","108,000","0.60K","0.00%"
"04/05/2022","108,000","109,000","109,000","106,000","9.80K","-1.91%"
"04/04/2022","110,100","110,100","110,100","110,000","8.22K","0.09%"
"04/01/2022","110,000","107,700","110,400","107,700","3.30K","2.14%"
"03/31/2022","107,700","107,500","107,800","107,200","5.20K","0.19%"
"03/30/2022","107,500","107,500","108,000","107,500","3.02K","0.47%"
"03/29/2022","107,000","108,800","108,800","107,000","5.10K","0.00%"
"03/28/2022","107,000","110,500","110,500","106,000","3.80K","-2.46%"
"03/25/2022","109,700","110,300","110,300","109,700","0.50K","-0.54%"
"03/24/2022","110,300","110,500","110,500","110,000","3.71K","-4.91%"
"03/23/2022","116,000","116,000","116,000","116,000","5.60K","0.00%"
"03/22/2022","116,000","116,200","116,400","116,000","6.82K","0.00%"
"03/21/2022","116,000","114,500","116,500","114,000","19.23K","1.67%"
"03/18/2022","114,100","114,100","115,000","114,100","1.34K","0.09%"
"03/17/2022","114,000","115,000","115,000","114,000","1.11K","0.00%"
"03/16/2022","114,000","114,600","114,700","114,000","1.61K","-0.52%"
"03/15/2022","114,600","113,500","119,900","113,000","2.20K","-0.09%"
"03/14/2022","114,700","114,000","114,700","112,500","4.60K","0.00%"
"03/11/2022","114,700","119,400","119,400","114,500","1.01K","-3.94%"
"03/10/2022","119,400","120,600","120,600","119,400","0.30K","0.25%"
"03/08/2022","119,100","120,000","123,800","119,000","3.41K","4.02%"
"03/07/2022","114,500","114,000","114,500","114,000","1.70K","0.79%"
"03/04/2022","113,600","114,000","114,000","113,600","0.30K","-0.35%"
"03/03/2022","114,000","114,000","114,000","114,000","1.10K","1.15%"
"03/02/2022","112,700","112,900","112,900","112,700","0.92K","-0.27%"
"03/01/2022","113,000","113,000","113,000","113,000","0.13K","0.00%"
"02/28/2022","113,000","113,000","113,000","113,000","0.65K","-0.88%"
"02/25/2022","114,000","111,000","114,000","111,000","2.20K","1.79%"
"02/24/2022","112,000","112,000","112,000","112,000","0.50K","0.00%"
"02/23/2022","112,000","112,000","112,000","112,000","0.10K","1.82%"
"02/21/2022","110,000","110,000","110,000","110,000","0.10K","3.77%"
"02/15/2022","106,000","106,000","106,000","106,000","0.10K","-3.64%"
"02/14/2022","110,000","110,000","110,000","110,000","0.50K","0.00%"
"02/08/2022","110,000","109,900","110,000","109,900","0.31K","0.09%"
"02/07/2022","109,900","109,900","109,900","109,900","0.10K","0.00%"
"01/28/2022","109,900","105,000","110,000","105,000","0.31K","-0.09%"
"01/26/2022","110,000","110,000","110,000","110,000","0.40K","-0.81%"
"01/21/2022","110,900","110,900","110,900","110,900","0.35K","2.69%"
"01/20/2022","108,000","108,000","108,000","108,000","0.10K","0.00%"
"01/19/2022","108,000","108,000","108,000","108,000","0.10K","0.00%"
"01/18/2022","108,000","108,000","108,000","108,000","0.40K","-4.26%"
"01/17/2022","112,800","114,000","114,000","105,100","0.45K","-1.05%"
"01/14/2022","114,000","114,000","114,000","114,000","0.10K","9.62%"
"01/13/2022","104,000","110,000","114,000","104,000","8.20K","-5.45%"
"01/10/2022","110,000","110,100","116,000","105,200","3.40K","-5.17%"
"01/05/2022","116,000","116,000","116,000","116,000","0.10K","0.00%"
"01/04/2022","116,000","104,800","116,000","104,800","2.51K","2.65%"
"12/28/2021","113,000","113,000","113,000","113,000","0.22K","0.00%"
"12/27/2021","113,000","113,000","113,000","113,000","0.70K","2.73%"
"12/23/2021","110,000","110,000","110,000","110,000","0.20K","-2.65%"
